"id","category","asset_name_zh","deliverable","priority","status","notes"
"art.building.family","building","九类建筑统一阵列","PNG设计板","S","pending","先确定家族语言"
"art.building.housing","building","住房模块","PNG概念图","S","pending","暖黄生活窗"
"art.building.storage","building","仓库模块","PNG概念图","S","pending","封闭装甲舱盖"
"art.building.miner","building","采矿站","PNG概念图","S","pending","斜向重型钻臂"
"art.building.smelter","building","冶炼厂","PNG概念图","S","pending","可表现移动生产"
"art.building.assembler","building","装配厂","PNG概念图","S","pending","移动时低效率状态"
"art.building.tower","building","机枪塔","PNG概念图","S","pending","双联短枪管"
"art.building.wall","building","城墙组件","PNG设计板","S","pending","直线转角端头受损"
"art.building.research","building","研究站","PNG概念图","A","pending","工业与遗产结合"
"art.building.core","building","城市核心","PNG概念图","S","pending","不可替换遗产结构"
"art.building.states","building","建筑状态板","PNG设计板","S","pending","运行停机缺料受损"
