id,category,asset_name_zh,deliverable,priority,status,notes
art.city.mobile,city,移动城市收起状态,PNG概念图,S,pending,展示可定制基础甲板
art.city.deployed,city,移动城市展开状态,PNG概念图,S,pending,保持同一城市结构
art.city.deck,city,空甲板与弱化网格,PNG设计板,S,pending,普通与建造状态对比
art.city.exploded,city,城市结构拆分,PNG设计板,S,pending,供后续建模与分层
art.city.states,city,城市受损与异常状态,PNG设计板,A,pending,正常受损异常对比
art.building.family,building,九类建筑统一阵列,PNG设计板,S,pending,先确定家族语言
art.building.housing,building,住房模块,PNG概念图,S,pending,暖黄生活窗
art.building.storage,building,仓库模块,PNG概念图,S,pending,封闭装甲舱盖
art.building.miner,building,采矿站,PNG概念图,S,pending,斜向重型钻臂
art.building.smelter,building,冶炼厂,PNG概念图,S,pending,可表现移动生产
art.building.assembler,building,装配厂,PNG概念图,S,pending,移动时低效率状态
art.building.tower,building,机枪塔,PNG概念图,S,pending,双联短枪管
art.building.wall,building,城墙组件,PNG设计板,S,pending,直线转角端头受损
art.building.research,building,研究站,PNG概念图,A,pending,工业与遗产结合
art.building.core,building,城市核心,PNG概念图,S,pending,不可替换遗产结构
art.building.states,building,建筑状态板,PNG设计板,S,pending,运行停机缺料受损
art.enemy.family,enemy,三种普通敌人阵列,PNG设计板,S,pending,比例与轮廓统一
art.enemy.devourer,enemy,啃噬者,PNG概念图,S,pending,低伏群体杂兵
art.enemy.crystal_shell,enemy,晶壳兽,PNG概念图,S,pending,前重型结晶甲壳
art.enemy.screamer,enemy,啸叫者,PNG概念图,S,pending,高瘦远程轮廓
art.enemy.burrower,enemy,结晶掘地者,PNG概念图,A,pending,精英几何异常
art.enemy.boss,enemy,晶壳母体三阶段,PNG设计板,S,pending,同一主体连续阶段
art.enemy.damage,enemy,敌人受击死亡反馈,PNG特效板,S,pending,中等暴力尺度
art.character.cenjin_healthy,character,岑烬健康状态,PNG半身立绘,A,pending,维修队负责人
art.character.cenjin_injured,character,岑烬受伤状态,PNG半身立绘,A,pending,保持人物一致
art.character.survivors,character,幸存者职业剪影,PNG设计板,B,pending,六类剪影
art.narrative.keyframes,narrative,四幕事件氛围板,PNG设计板,A,pending,苏醒救援扫描升阶
art.environment.plains,environment,锈蚀平原,PNG环境图,S,pending,主要探索区
art.environment.mines,environment,安全矿区与结晶裂谷,PNG对比图,S,pending,收益风险对比
art.environment.rescue,environment,岑烬求救区,PNG环境图,A,pending,暖黄求救灯
art.environment.boss,environment,Boss区域,PNG环境图,S,pending,中央保持清晰
art.environment.props,environment,装饰与探索点资产板,PNG设计板,A,pending,模块化环境物
art.resource.family,resource,四种资源视觉板,PNG设计板,S,pending,世界物体与图标
art.ui.hud,ui,工业战术HUD,PNG界面图,S,pending,1920x1080
art.ui.build_mode,ui,建造模式,PNG界面图,S,pending,弱化网格高亮
art.ui.building_panel,ui,建筑信息面板,PNG界面图,S,pending,输入输出与停机原因
art.ui.fate,ui,命轨三选一,PNG界面图,A,pending,冷白遗产层
art.ui.leader,ui,领袖技能界面,PNG界面图,A,pending,岑烬头像与冷却
art.ui.event,ui,事件选择界面,PNG界面图,A,pending,工业与遗产两种边框
art.ui.boss,ui,Boss血条与阶段,PNG界面图,S,pending,结晶边缘与阶段刻度
art.ui.settlement,ui,结算界面,PNG界面图,A,pending,工业面板与遗产扫描
art.ui.icons,ui,通用图标阵列,PNG或SVG设计板,A,pending,资源建筑状态科技操作
art.vfx.attention,vfx,关注度四阶段,PNG特效板,S,pending,同场景对比
art.vfx.fates,vfx,三条命轨效果,PNG特效板,A,pending,规则改写语言
art.vfx.boss_warning,vfx,Boss预警,PNG特效板,S,pending,形状颜色动画三重提示
art.vfx.combat,vfx,炮塔碾压与命中反馈,PNG特效板,S,pending,暖黄物理反馈
art.vfx.production,vfx,生产与堵塞反馈,PNG特效板,A,pending,采矿冶炼装配维修
art.vfx.ascension,vfx,升阶结尾关键帧,PNG关键帧板,A,pending,希望转未知威胁
